Target OG nRef Refs P-value SSE Coeff1 Coeff2 Coeff3 SE1 SE2 SE3
Shiderti10 OG1 30 Iran_BronzeAge;Derkul.SG;Sahiwal 0.13218773070354803 7.81363e-07 0.584 0.410 0.006 0.091 0.092 0.003
Xiaohe OG1 1 Anatolia_Neolithic;Shuangta_EN 6.975551884169417e-12 5.04056e-06 0.882 0.118 NA 0.010 0.010 NA
Xiaohe OG1 2 Anatolia_Neolithic;Baikal1 6.722841960001387e-14 5.78698e-06 0.902 0.098 NA 0.008 0.008 NA
Xiaohe OG1 3 Anatolia_Neolithic;Borly4b 4.599376886625981e-15 7.06939e-06 0.785 0.215 NA 0.021 0.021 NA
Xiaohe OG1 4 Anatolia_Neolithic;Var1 2.851259426391781e-15 8.16479e-06 0.696 0.304 NA 0.029 0.029 NA
Xiaohe OG1 5 Anatolia_Neolithic;Derkul.SG 3.638459194223165e-21 1.92863e-05 0.569 0.431 NA 0.052 0.052 NA
Xiaohe OG1 6 Balkans_Neolithic;Shuangta_EN 1.9898183692133987e-18 9.869e-06 0.877 0.123 NA 0.010 0.010 NA
Xiaohe OG1 7 Balkans_Neolithic;Baikal1 4.084080819082192e-19 1.01656e-05 0.893 0.107 NA 0.008 0.008 NA
Xiaohe OG1 8 Balkans_Neolithic;Borly4b 1.1961033651767661e-20 1.12106e-05 0.761 0.239 NA 0.021 0.021 NA
Xiaohe OG1 9 Balkans_Neolithic;Var1 1.4442722571890584e-26 1.62731e-05 0.690 0.310 NA 0.033 0.033 NA
Xiaohe OG1 10 Balkans_Neolithic;Derkul.SG 9.796933525462916e-34 1.91479e-05 -0.350 1.350 NA 0.564 0.564 NA
Xiaohe OG1 11 Iran_BronzeAge;Shuangta_EN 1.2784574817469273e-12 4.90489e-06 0.893 0.107 NA 0.011 0.011 NA
Xiaohe OG1 12 Iran_BronzeAge;Baikal1 2.5402105814652123e-15 5.41201e-06 0.906 0.094 NA 0.009 0.009 NA
Xiaohe OG1 13 Iran_BronzeAge;Borly4b 6.5637765497302184e-15 5.98763e-06 0.787 0.213 NA 0.023 0.023 NA
Xiaohe OG1 14 Iran_BronzeAge;Var1 6.119764006882979e-16 7.11937e-06 0.701 0.299 NA 0.032 0.032 NA
Xiaohe OG1 15 Iran_BronzeAge;Derkul.SG 1.2680998406259637e-22 1.81729e-05 0.577 0.423 NA 0.063 0.063 NA
Xiaohe OG1 16 Anatolia_Neolithic;Shuangta_EN;Sahiwal 1.2320293016609512e-7 2.64105e-06 0.916 0.070 0.015 0.012 0.014 0.003
Xiaohe OG1 17 Anatolia_Neolithic;Baikal1;Sahiwal 7.022440467120115e-9 2.966e-06 0.930 0.055 0.015 0.010 0.012 0.003
Xiaohe OG1 18 Anatolia_Neolithic;Borly4b;Sahiwal 2.9192888964153284e-7 2.42564e-06 0.870 0.112 0.017 0.025 0.027 0.003
Xiaohe OG1 19 Anatolia_Neolithic;Var1;Sahiwal 5.540069750920538e-6 1.44186e-06 0.794 0.190 0.017 0.032 0.033 0.002
Xiaohe OG1 20 Anatolia_Neolithic;Derkul.SG;Sahiwal 0.008318107202371491 5.72272e-07 0.689 0.290 0.021 0.045 0.046 0.002
Xiaohe OG1 21 Balkans_Neolithic;Shuangta_EN;Sahiwal 0.002327223814855941 8.89472e-07 0.936 0.040 0.024 0.012 0.014 0.003
Xiaohe OG1 22 Balkans_Neolithic;Baikal1;Sahiwal 0.01241360656319411 5.98461e-07 0.940 0.035 0.025 0.010 0.012 0.003
Xiaohe OG1 23 Balkans_Neolithic;Borly4b;Sahiwal 0.022314038621167265 5.53841e-07 0.904 0.070 0.026 0.025 0.027 0.003
Xiaohe OG1 24 Balkans_Neolithic;Var1;Sahiwal 0.0035072117831637653 6.984e-07 0.890 0.083 0.027 0.033 0.035 0.003
Xiaohe OG1 25 Balkans_Neolithic;Derkul.SG;Sahiwal 0.02331501553760963 5.22158e-07 0.884 0.085 0.030 0.058 0.060 0.002
Xiaohe OG1 26 Iran_BronzeAge;Shuangta_EN;Sahiwal 4.457294649939689e-7 2.4781e-06 0.936 0.048 0.016 0.014 0.016 0.003
Xiaohe OG1 27 Iran_BronzeAge;Baikal1;Sahiwal 2.783078964521255e-9 3.13652e-06 0.940 0.044 0.016 0.011 0.013 0.003
Xiaohe OG1 28 Iran_BronzeAge;Borly4b;Sahiwal 5.398822160338542e-7 2.51999e-06 0.878 0.104 0.017 0.028 0.029 0.003
Xiaohe OG1 29 Iran_BronzeAge;Var1;Sahiwal 2.399865334030421e-6 1.59024e-06 0.811 0.173 0.017 0.035 0.036 0.002
Xiaohe OG1 30 Iran_BronzeAge;Derkul.SG;Sahiwal 5.243006766085799e-4 8.96599e-07 0.716 0.263 0.021 0.051 0.052 0.002
